NACA_index,TSR,Cp,Cp_max,Cp_avg,TSR_min,TSR_max,radius,height,chord,num_blades,solidity
NACA_0012,0.5,0.004508,0.573766,0.269248,0.5,5.0,0.5,1.0,0.08,2,0.32
NACA_0012,0.7368,0.009561,0.573766,0.269248,0.5,5.0,0.5,1.0,0.08,2,0.32
NACA_0012,0.9737,0.017474,0.573766,0.269248,0.5,5.0,0.5,1.0,0.08,2,0.32
NACA_0012,1.2105,0.029276,0.573766,0.269248,0.5,5.0,0.5,1.0,0.08,2,0.32
NACA_0012,1.4474,0.045746,0.573766,0.269248,0.5,5.0,0.5,1.0,0.08,2,0.32
NACA_0012,1.6842,0.067606,0.573766,0.269248,0.5,5.0,0.5,1.0,0.08,2,0.32
NACA_0012,1.9211,0.09524,0.573766,0.269248,0.5,5.0,0.5,1.0,0.08,2,0.32
NACA_0012,2.1579,0.128965,0.573766,0.269248,0.5,5.0,0.5,1.0,0.08,2,0.32
NACA_0012,2.3947,0.168774,0.573766,0.269248,0.5,5.0,0.5,1.0,0.08,2,0.32
NACA_0012,2.6316,0.21428,0.573766,0.269248,0.5,5.0,0.5,1.0,0.08,2,0.32
NACA_0012,2.8684,0.264708,0.573766,0.269248,0.5,5.0,0.5,1.0,0.08,2,0.32
NACA_0012,3.1053,0.318396,0.573766,0.269248,0.5,5.0,0.5,1.0,0.08,2,0.32
NACA_0012,3.3421,0.372752,0.573766,0.269248,0.5,5.0,0.5,1.0,0.08,2,0.32
NACA_0012,3.5789,0.425344,0.573766,0.269248,0.5,5.0,0.5,1.0,0.08,2,0.32
NACA_0012,3.8158,0.472864,0.573766,0.269248,0.5,5.0,0.5,1.0,0.08,2,0.32
NACA_0012,4.0526,0.51178,0.573766,0.269248,0.5,5.0,0.5,1.0,0.08,2,0.32
NACA_0012,4.2895,0.539499,0.573766,0.269248,0.5,5.0,0.5,1.0,0.08,2,0.32
NACA_0012,4.5263,0.556679,0.573766,0.269248,0.5,5.0,0.5,1.0,0.08,2,0.32
NACA_0012,4.7632,0.567742,0.573766,0.269248,0.5,5.0,0.5,1.0,0.08,2,0.32
NACA_0012,5.0,0.573766,0.573766,0.269248,0.5,5.0,0.5,1.0,0.08,2,0.32
NACA_0012,0.5,0.006697,0.592593,0.323581,0.5,5.0,0.5,1.0,0.08,3,0.48
NACA_0012,0.7368,0.014209,0.592593,0.323581,0.5,5.0,0.5,1.0,0.08,3,0.48
NACA_0012,0.9737,0.025983,0.592593,0.323581,0.5,5.0,0.5,1.0,0.08,3,0.48
NACA_0012,1.2105,0.043557,0.592593,0.323581,0.5,5.0,0.5,1.0,0.08,3,0.48
NACA_0012,1.4474,0.068059,0.592593,0.323581,0.5,5.0,0.5,1.0,0.08,3,0.48
NACA_0012,1.6842,0.100487,0.592593,0.323581,0.5,5.0,0.5,1.0,0.08,3,0.48
NACA_0012,1.9211,0.141333,0.592593,0.323581,0.5,5.0,0.5,1.0,0.08,3,0.48
NACA_0012,2.1579,0.190771,0.592593,0.323581,0.5,5.0,0.5,1.0,0.08,3,0.48
NACA_0012,2.3947,0.248396,0.592593,0.323581,0.5,5.0,0.5,1.0,0.08,3,0.48
NACA_0012,2.6316,0.312692,0.592593,0.323581,0.5,5.0,0.5,1.0,0.08,3,0.48
NACA_0012,2.8684,0.380628,0.592593,0.323581,0.5,5.0,0.5,1.0,0.08,3,0.48
NACA_0012,3.1053,0.447739,0.592593,0.323581,0.5,5.0,0.5,1.0,0.08,3,0.48
NACA_0012,3.3421,0.508811,0.592593,0.323581,0.5,5.0,0.5,1.0,0.08,3,0.48
NACA_0012,3.5789,0.55732,0.592593,0.323581,0.5,5.0,0.5,1.0,0.08,3,0.48
NACA_0012,3.8158,0.587509,0.592593,0.323581,0.5,5.0,0.5,1.0,0.08,3,0.48
NACA_0012,4.0526,0.592593,0.592593,0.323581,0.5,5.0,0.5,1.0,0.08,3,0.48
NACA_0012,4.2895,0.592593,0.592593,0.323581,0.5,5.0,0.5,1.0,0.08,3,0.48
NACA_0012,4.5263,0.578684,0.592593,0.323581,0.5,5.0,0.5,1.0,0.08,3,0.48
NACA_0012,4.7632,0.554133,0.592593,0.323581,0.5,5.0,0.5,1.0,0.08,3,0.48
NACA_0012,5.0,0.519423,0.592593,0.323581,0.5,5.0,0.5,1.0,0.08,3,0.48
NACA_0012,0.5,0.005608,0.590518,0.304332,0.5,5.0,0.5,1.0,0.1,2,0.4
NACA_0012,0.7368,0.011896,0.590518,0.304332,0.5,5.0,0.5,1.0,0.1,2,0.4
NACA_0012,0.9737,0.021747,0.590518,0.304332,0.5,5.0,0.5,1.0,0.1,2,0.4
NACA_0012,1.2105,0.036445,0.590518,0.304332,0.5,5.0,0.5,1.0,0.1,2,0.4
NACA_0012,1.4474,0.05695,0.590518,0.304332,0.5,5.0,0.5,1.0,0.1,2,0.4
NACA_0012,1.6842,0.084127,0.590518,0.304332,0.5,5.0,0.5,1.0,0.1,2,0.4
NACA_0012,1.9211,0.118423,0.590518,0.304332,0.5,5.0,0.5,1.0,0.1,2,0.4
NACA_0012,2.1579,0.160114,0.590518,0.304332,0.5,5.0,0.5,1.0,0.1,2,0.4
NACA_0012,2.3947,0.209066,0.590518,0.304332,0.5,5.0,0.5,1.0,0.1,2,0.4
NACA_0012,2.6316,0.264456,0.590518,0.304332,0.5,5.0,0.5,1.0,0.1,2,0.4
NACA_0012,2.8684,0.324681,0.590518,0.304332,0.5,5.0,0.5,1.0,0.1,2,0.4
NACA_0012,3.1053,0.386582,0.590518,0.304332,0.5,5.0,0.5,1.0,0.1,2,0.4
NACA_0012,3.3421,0.446951,0.590518,0.304332,0.5,5.0,0.5,1.0,0.1,2,0.4
NACA_0012,3.5789,0.501156,0.590518,0.304332,0.5,5.0,0.5,1.0,0.1,2,0.4
NACA_0012,3.8158,0.544508,0.590518,0.304332,0.5,5.0,0.5,1.0,0.1,2,0.4
NACA_0012,4.0526,0.572973,0.590518,0.304332,0.5,5.0,0.5,1.0,0.1,2,0.4
NACA_0012,4.2895,0.586355,0.590518,0.304332,0.5,5.0,0.5,1.0,0.1,2,0.4
NACA_0012,4.5263,0.590518,0.590518,0.304332,0.5,5.0,0.5,1.0,0.1,2,0.4
NACA_0012,4.7632,0.587228,0.590518,0.304332,0.5,5.0,0.5,1.0,0.1,2,0.4
NACA_0012,5.0,0.576845,0.590518,0.304332,0.5,5.0,0.5,1.0,0.1,2,0.4
NACA_0012,0.5,0.00831,0.592593,0.321947,0.5,5.0,0.5,1.0,0.1,3,0.6
NACA_0012,0.7368,0.017639,0.592593,0.321947,0.5,5.0,0.5,1.0,0.1,3,0.6
NACA_0012,0.9737,0.032267,0.592593,0.321947,0.5,5.0,0.5,1.0,0.1,3,0.6
NACA_0012,1.2105,0.054113,0.592593,0.321947,0.5,5.0,0.5,1.0,0.1,3,0.6
NACA_0012,1.4474,0.084548,0.592593,0.321947,0.5,5.0,0.5,1.0,0.1,3,0.6
NACA_0012,1.6842,0.124724,0.592593,0.321947,0.5,5.0,0.5,1.0,0.1,3,0.6
NACA_0012,1.9211,0.175137,0.592593,0.321947,0.5,5.0,0.5,1.0,0.1,3,0.6
NACA_0012,2.1579,0.235664,0.592593,0.321947,0.5,5.0,0.5,1.0,0.1,3,0.6
NACA_0012,2.3947,0.305121,0.592593,0.321947,0.5,5.0,0.5,1.0,0.1,3,0.6
NACA_0012,2.6316,0.380111,0.592593,0.321947,0.5,5.0,0.5,1.0,0.1,3,0.6
NACA_0012,2.8684,0.454435,0.592593,0.321947,0.5,5.0,0.5,1.0,0.1,3,0.6
NACA_0012,3.1053,0.521189,0.592593,0.321947,0.5,5.0,0.5,1.0,0.1,3,0.6
NACA_0012,3.3421,0.570752,0.592593,0.321947,0.5,5.0,0.5,1.0,0.1,3,0.6
NACA_0012,3.5789,0.592593,0.592593,0.321947,0.5,5.0,0.5,1.0,0.1,3,0.6
NACA_0012,3.8158,0.589391,0.592593,0.321947,0.5,5.0,0.5,1.0,0.1,3,0.6
NACA_0012,4.0526,0.565024,0.592593,0.321947,0.5,5.0,0.5,1.0,0.1,3,0.6
NACA_0012,4.2895,0.525607,0.592593,0.321947,0.5,5.0,0.5,1.0,0.1,3,0.6
NACA_0012,4.5263,0.47274,0.592593,0.321947,0.5,5.0,0.5,1.0,0.1,3,0.6
NACA_0012,4.7632,0.405043,0.592593,0.321947,0.5,5.0,0.5,1.0,0.1,3,0.6
NACA_0012,5.0,0.32454,0.592593,0.321947,0.5,5.0,0.5,1.0,0.1,3,0.6
NACA_0012,0.5,0.006697,0.592593,0.323581,0.5,5.0,0.5,1.0,0.12,2,0.48
NACA_0012,0.7368,0.014209,0.592593,0.323581,0.5,5.0,0.5,1.0,0.12,2,0.48
NACA_0012,0.9737,0.025983,0.592593,0.323581,0.5,5.0,0.5,1.0,0.12,2,0.48
NACA_0012,1.2105,0.043557,0.592593,0.323581,0.5,5.0,0.5,1.0,0.12,2,0.48
NACA_0012,1.4474,0.068059,0.592593,0.323581,0.5,5.0,0.5,1.0,0.12,2,0.48
NACA_0012,1.6842,0.100487,0.592593,0.323581,0.5,5.0,0.5,1.0,0.12,2,0.48
NACA_0012,1.9211,0.141333,0.592593,0.323581,0.5,5.0,0.5,1.0,0.12,2,0.48
NACA_0012,2.1579,0.190771,0.592593,0.323581,0.5,5.0,0.5,1.0,0.12,2,0.48
NACA_0012,2.3947,0.248396,0.592593,0.323581,0.5,5.0,0.5,1.0,0.12,2,0.48
NACA_0012,2.6316,0.312692,0.592593,0.323581,0.5,5.0,0.5,1.0,0.12,2,0.48
NACA_0012,2.8684,0.380628,0.592593,0.323581,0.5,5.0,0.5,1.0,0.12,2,0.48
NACA_0012,3.1053,0.447739,0.592593,0.323581,0.5,5.0,0.5,1.0,0.12,2,0.48
NACA_0012,3.3421,0.508811,0.592593,0.323581,0.5,5.0,0.5,1.0,0.12,2,0.48
NACA_0012,3.5789,0.55732,0.592593,0.323581,0.5,5.0,0.5,1.0,0.12,2,0.48
NACA_0012,3.8158,0.587509,0.592593,0.323581,0.5,5.0,0.5,1.0,0.12,2,0.48
NACA_0012,4.0526,0.592593,0.592593,0.323581,0.5,5.0,0.5,1.0,0.12,2,0.48
